
"Arroz integral cozido","Colher de sopa",30,gramas,124,70,26,2.6,1.0,0.3,2.7,1,NULL,5,0.3,NULL,75,59,0.08,NULL,NULL
Arroz integral cozido com sal,Colher de sopa,30,gramas,124,70,26,2.6,1.0,0.3,2.7,500,NULL,5,0.3,NULL,75,59,0.08,NULL,NULL
Arroz integral cru,Xicara,100,gramas,360,12,77,7.3,1.9,0.3,4.8,2,NULL,8,0.9,NULL,173,110,0.26,NULL,4.18
Arroz polido cozido,Colher de sopa,30,gramas,128,69,28,2.5,0.2,0.2,1.6,1,NULL,4,0.1,NULL,15,2,NULL,NULL,NULL
Arroz polido cozido com sal,Colher de sopa,30,gramas,128,69,28,2.5,0.2,0.2,1.6,500,NULL,4,0.1,NULL,15,2,NULL,NULL,NULL
Arroz polido cru,Xicara,100,gramas,358,13,79,7.2,0.3,0.1,1.6,1,NULL,4,0.7,NULL,62,30,0.16,NULL,1.12
Aveia flocos crua,Colher de sopa,15,gramas,394,9,67,13.9,8.5,1.5,9.1,5,1.4,48,4.4,NULL,336,119,0.55,0.03,4.47
Biscoito maisena,Unidade,5,gramas,443,3,75,8.1,12.0,3.9,2.1,352,6.2,54,1.8,NULL,142,37,1.01,0.42,3.91
Biscoito recheado com chocolate,Unidade,13,gramas,472,2,71,6.4,19.6,6.2,3.0,239,3.5,27,2.3,NULL,232,48,0.32,0.39,2.52
Biscoito recheado com morango,Unidade,15,gramas,471,3,71,5.7,19.6,6.1,1.5,230,NULL,36,1.5,NULL,113,27,0.90,0.42,1.50
Biscoito wafer recheado de chocolate,Unidade,7.5,gramas,502,1,68,5.6,24.7,6.5,1.8,137,NULL,23,2.4,NULL,240,48,0.37,0.03,1.12
Biscoito wafer recheado de morango,Unidade,7.5,gramas,513,1,67,4.5,26.4,6.7,0.8,120,NULL,14,1.1,NULL,75,19,0.36,NULL,0.37
Biscoito cream cracker,Unidade,6.2,gramas,432,4,69,10.1,14.4,4.4,2.5,854,NULL,20,2.2,NULL,181,40,0.71,0.13,7.14
Mistura para bolo,Colher de sopa,11.7,gramas,419,1,85,6.2,6.1,2.1,1.7,463,NULL,59,1.2,NULL,75,28,0.18,NULL,1.52
Bolo de aipim,Pedaço grande,100,gramas,324,34,48,4.4,12.7,5.0,0.7,111,NULL,85,0.5,NULL,135,10,0.13,0.07,NULL
Bolo pronto de chocolate,Fatia média,60,gramas,410,19,55,6.2,18.5,5.5,1.4,283,NULL,75,2.1,NULL,212,28,0.13,0.09,NULL
Bolo de côco,Fatia média,70,gramas,333,29,52,5.7,11.3,4.9,1.1,190,NULL,57,0.8,NULL,143,16,0.15,0.06,NULL
Bolo de milho,Fatia média,50,gramas,311,37,45,4.8,12.4,4.5,0.7,134,NULL,83,0.7,57,118,10,0.11,0.05,NULL
Canjica branca crua,Meia xícara,100,gramas,358,14,78,7.2,1.0,0.3,5.5,1,NULL,2,0.3,NULL,93,12,NULL,NULL,NULL
Canjica com leite integral,Concha cheia,120,gramas,112,72,24,2.4,1.2,0.6,1.2,28,NULL,43,0.1,NULL,70,6,NULL,0.04,NULL
Flocos de milho com sal,Xícara,40,gramas,370,9,81,7.3,1.6,0.5,5.3,272,NULL,2,0.5,NULL,69,20,0.12,NULL,NULL
Flocos de milho sem sal,Xícara,40,gramas,363,11,80,6.9,1.2,0.3,1.8,31,NULL,2,1.7,NULL,29,17,0.05,NULL,NULL
Pó para mingau de cereais milho,Colher de sopa,37,gramas,394,5,87,6.4,1.1,0.3,3.2,399,109.4,219,3.0,21,82,16,3.72,0.47,24.16
"Mistura de flocos de trigo, cevada e aveia",Colher de sopa,9,gramas,381,4,82,8.9,2.1,0.5,5.0,1163,13.1,584,12.6,NULL,244,72,0.76,0.88,7.46
Cereal matinal de milho sem açúcar,Xícara,40,gramas,365,6,84,7.2,1.0,0.4,4.1,655,17.3,143,3.1,15,83,11,0.76,1.02,11.04
Cereal matinal de milho com açúcar,Xícara,40,gramas,377,4,89,4.7,0.7,0.2,2.1,405,14.6,56,3.9,15,52,8,0.73,1.11,10.13
Pó para preparo de creme de arroz,Colher de sopa,37,gramas,386,7,84,7.0,1.2,0.4,1.1,1,NULL,7,0.6,NULL,115,51,0.22,NULL,NULL
Pó para preparo de creme de milho,Colher de sopa,9,gramas,333,6,86,4.8,1.6,0.3,3.7,594,96.3,323,4.3,NULL,166,30,0.74,NULL,NULL
Curau de milho verde preparado,"Xícara ",210,gramas,78,82,14,2.4,1.6,0.8,0.5,21,NULL,53,0.4,57,162,16,0.04,0.07,NULL
Mistura em pó para curau milho verde,Colher de sopa,10,gramas,402,4,80,2.2,13.4,3.0,2.5,223,NULL,31,0.9,NULL,55,9,0.13,NULL,NULL
Farinha de arroz enriquecida,Colher de sopa,17,gramas,363,13,86,1.3,0.3,0.2,0.6,17,173.6,1,31.4,NULL,13,4,3.23,NULL,24.42
Farinha de centeio integral,Colher de sopa,15,gramas,336,11,73,12.5,1.8,0.3,15.5,41,NULL,34,4.7,NULL,334,120,0.29,0.03,NULL
Farinha de milho amarela,Colher de sopa,15,gramas,351,12,79,7.2,1.5,0.4,5.5,45,NULL,1,2.3,9,58,31,0.25,NULL,NULL
Farinha de rosca,Colher de sopa,15,gramas,371,10,76,11.4,1.5,0.6,4.8,333,NULL,35,6.7,NULL,212,57,0.25,NULL,NULL
Farinha de trigo,Colher de sopa,20,gramas,360,13,75,9.8,1.4,0.3,2.3,1,NULL,18,1.0,NULL,151,31,0.31,NULL,0.89
Farinha láctea de cereais,Colher de sopa,7.5,gramas,415,3,78,11.9,5.8,3.3,1.9,125,24.3,196,8.7,492,366,58,1.43,1.13,9.50
Massa de lasanha cozida,Fatia,100,gramas,164,60,33,5.8,1.2,0.6,1.6,207,NULL,10,1.2,NULL,54,4,0.04,NULL,3.96
Massa de lasanha crua,Porção,101,gramas,220,45,45,7.0,1.3,0.5,1.6,667,NULL,17,1.9,NULL,137,13,0.08,NULL,NULL
Macarrão instantâneo cru,Pacote,80,gramas,436,6,62,8.8,17.2,NULL,5.6,1516,NULL,18,0.8,NULL,148,19,1.18,0.04,9.37
Macarrão de trigo cru,Porção,80,gramas,371,10,78,10.0,1.3,NULL,2.9,7,NULL,17,0.9,NULL,147,28,0.18,0.02,3.57
Macarrão de trico com ovos,Porção,80,gramas,371,11,77,10.3,2.0,0.5,2.3,15,NULL,19,0.9,NULL,134,NULL,0.11,0.05,4.37
Amido de milho cru (Maisena),Colher de sopa,20,gramas,361,12,87,0.6,NULL,NULL,0.7,8,NULL,1,0.1,NULL,9,3,NULL,NULL,NULL
Fubá,Colher de sopa,20,gramas,353,11,79,7.2,1.9,0.4,4.7,NULL,NULL,3,0.9,13,168,41,0.25,NULL,0.75
Milho verde cru,Colher de sopa,20,gramas,138,64,29,6.6,0.6,0.2,3.9,1,NULL,2,0.4,16,185,33,0.30,NULL,NULL
