Abacate cru picado,Colher de sopa,45,gramas,96,84,6,1.2,8.4,2.3,6.3,NULL,8.7,8,0.2,NULL,206,15,NULL,0.04,NULL
Abacaxi cru,Fatia média,75,gramas,48,86,12,0.9,0.1,NULL,1.0,NULL,34.6,22,0.3,NULL,131,18,0.17,0.02,NULL
Filé de Abadejo assado com pouco sal,Filé médio,100,gramas,112,74,0,23.5,1.2,0.6,NULL,334,NULL,23,0.5,NULL,156,20,NULL,NULL,0.44
Filé de abadejo filé cozido com pouco sal,Filé médio,100,gramas,91,80,0,19.3,0.9,0.4,NULL,189,NULL,17,0.3,NULL,146,16,NULL,NULL,NULL
Filé de abadejo filé grelhado com pouco sal,Filé médio,100,gramas,130,71,0,27.6,1.3,0.6,NULL,305,NULL,20,0.3,6,279,22,0.03,NULL,0.44
Abiu cru,Unidade,70,gramas,62,83,15,0.8,0.7,0.3,1.7,NULL,10.3,6,0.2,NULL,128,9,NULL,0.04,NULL
Abóbora cabotian cozida sem adição de sal,Colher de sopa,36,gramas,48,86,11,1.4,0.7,0.1,2.5,1,7.5,8,0.3,NULL,199,9,0.08,NULL,NULL
Abóbora moranga refogada com adição de pouco sal,Colher de sopa,36,gramas,29,92,6,0.4,0.8,0.1,1.5,130,6.7,19,0.1,48,183,7,0.05,NULL,NULL
Abóbora moranga refogada sem adição de sal,Colher de sopa,36,gramas,29,92,6,0.4,0.8,0.1,1.5,3,6.7,19,0.1,48,183,7,0.05,NULL,NULL
Abobrinha italiana cozida com adição de pouco sal,Colher de sopa,32,gramas,15,95,3,1.1,0.2,0.1,1.6,280,2.1,17,0.2,NULL,126,17,0.05,NULL,NULL
Abobrinha italiana cozida sem adição de sal,Colher de sopa,32,gramas,15,95,3,1.1,0.2,0.1,1.6,1,2.1,17,0.2,NULL,126,17,0.05,NULL,NULL
Abobrinha italiana refogada com adição de pouco sal,Colher de sopa,32,gramas,24,93,4,1.1,0.8,0.1,1.4,130,7.5,21,0.4,21,194,13,0.04,NULL,NULL
Abobrinha italiana refogada sem adição de sal,Colher de sopa,32,gramas,24,93,4,1.1,0.8,0.1,1.4,2,7.5,21,0.4,21,194,13,0.04,NULL,NULL
Acarajé preparado sem adição de sal,Unidade média,100,gramas,289,50,19,8.3,19.9,9.1,9.4,305,NULL,124,1.9,NULL,354,51,0.06,NULL,NULL
Acelga crua,Colher de sopa,6,gramas,21,93,5,1.4,0.1,NULL,1.1,1,22.6,43,0.3,NULL,240,10,0.04,NULL,NULL
Acerola crua,Unidade,12,gramas,33,91,8,0.9,0.2,NULL,1.5,NULL,941.4,13,0.2,124,165,13,NULL,0.04,1.38
Achocolatado em pó,Colher de sopa,16,gramas,401,1,91,4.2,2.2,1.1,3.9,65,NULL,44,5.4,796,496,77,1.38,1.02,4.99
