"Arroz, integral, cozido",124,25.8,2.6,1,NA,NA,2.7,1,,5,0.3,0.02,106,75,59,0.7,0.08
"Arroz, integral, cru",360,77.5,7.3,1.9,NA,NA,4.8,2,,8,0.9,0.07,251,173,110,1.4,0.26
"Arroz, tipo 1, cozido",128,28.1,2.5,0.2,NA,NA,1.6,1,,4,0.1,0.02,18,15,2,0.5,Tr
"Arroz, tipo 1, cru",358,78.8,7.2,0.3,NA,NA,1.6,1,,4,0.7,0.11,104,62,30,1.2,0.16
"Arroz, tipo 2, cozido",130,28.2,2.6,0.4,NA,NA,1.1,2,,3,0.1,0.04,22,20,6,0.5,Tr
"Arroz, tipo 2, cru",358,78.9,7.2,0.3,NA,NA,1.7,1,,5,0.6,0.05,82,57,29,1.3,0.16
"Aveia, flocos, crua",394,66.6,13.9,8.5,NA,NA,9.1,5,1.4,48,4.4,0.44,153,336,119,2.6,0.55
"Biscoito, doce, maisena",443,75.2,8.1,12,NA,NA,2.1,352,6.2,54,1.8,0.17,166,142,37,1,1.01
"Biscoito, doce, recheado com chocolate",472,70.5,6.4,19.6,Tr,Tr,3,239,3.5,27,2.3,0.27,139,232,48,1,0.32
"Biscoito, doce, recheado com morango",471,71,5.7,19.6,Tr,Tr,1.5,230,Tr,36,1.5,0.13,138,113,27,0.7,0.9
"Biscoito, doce, wafer, recheado de chocolate",502,67.5,5.6,24.7,Tr,Tr,1.8,137,Tr,23,2.4,0.26,124,240,48,0.9,0.37
"Biscoito, doce, wafer, recheado de morango",513,67.4,4.5,26.4,1,Tr,0.8,120,,14,1.1,0.08,73,75,19,0.5,0.36
"Biscoito, salgado, cream cracker",432,68.7,10.1,14.4,NA,NA,2.5,854,,20,2.2,0.18,148,181,40,1.1,0.71
"Bolo, mistura para",419,84.7,6.2,6.1,Tr,NA,1.7,463,Tr,59,1.2,0.15,333,75,28,0.6,0.18
"Bolo, pronto, aipim",324,47.9,4.4,12.7,73,Tr,0.7,111,Tr,85,0.5,0.05,122,135,10,0.4,0.13
"Bolo, pronto, chocolate",410,54.7,6.2,18.5,77,Tr,1.4,283,Tr,75,2.1,0.05,197,212,28,0.7,0.13
"Bolo, pronto, coco",333,52.3,5.7,11.3,63,Tr,1.1,190,Tr,57,0.8,0.09,303,143,16,0.7,0.15
"Bolo, pronto, milho",311,45.1,4.8,12.4,82,57,0.7,134,Tr,83,0.7,0.04,128,118,10,0.4,0.11
"Canjica, branca, crua",358,78.1,7.2,1,NA,NA,5.5,1,Tr,2,0.3,0.05,48,93,12,0.4,Tr
"Canjica, com leite integral",112,23.6,2.4,1.2,1,Tr,1.2,28,Tr,43,0.1,0.03,41,70,6,0.3,Tr
"Cereais, milho, flocos, com sal",370,80.8,7.3,1.6,NA,NA,5.3,272,Tr,2,0.5,Tr,91,69,20,0.6,0.12
"Cereais, milho, flocos, sem sal",363,80.4,6.9,1.2,NA,NA,1.8,31,Tr,2,1.7,0.24,58,29,17,0.3,0.05
"Cereais, mingau, milho, infantil",394,87.3,6.4,1.1,NA,21,3.2,399,109.4,219,3,0.04,169,82,16,0.4,3.72
"Cereais, mistura para vitamina, trigo, cevada e aveia",381,81.6,8.9,2.1,NA,Tr,5,1163,13.1,584,12.6,0.21,515,244,72,2,0.76
"Cereal matinal, milho",365,83.8,7.2,1,NA,NA,4.1,655,17.3,143,3.1,0.06,101,83,11,7.6,0.76
"Cereal matinal, milho, açúcar",377,88.8,4.7,0.7,NA,NA,2.1,405,14.6,56,3.9,0.04,43,52,8,8.5,0.73
"Creme de arroz, pó",386,83.9,7,1.2,NA,NA,1.1,1,Tr,7,0.6,0.04,153,115,51,1.9,0.22
"Creme de milho, pó",333,86.1,4.8,1.6,NA,NA,3.7,594,96.3,323,4.3,0.04,303,166,30,0.8,0.74
"Curau, milho verde",78,13.9,2.4,1.6,5,12,0.5,21,Tr,53,0.4,0.03,75,162,16,0.4,0.04
"Curau, milho verde, mistura para",402,79.8,2.2,13.4,NA,NA,2.5,223,Tr,31,0.9,0.03,45,55,9,0.2,0.13
"Farinha, de arroz, enriquecida",363,85.5,1.3,0.3,NA,NA,0.6,17,173.6,1,31.4,Tr,36,13,4,8.5,3.23
,,,,,,,,,,,,,,,,,
"Farinha, de centeio, integral",336,73.3,12.5,1.8,NA,NA,15.5,41,Tr,34,4.7,0.56,340,334,120,2.7,0.29
"Farinha, de milho, amarela",351,79.1,7.2,1.5,NA,NA,5.5,45,Tr,1,2.3,0.27,84,58,31,0.6,0.25
"Farinha, de rosca",371,75.8,11.4,1.5,NA,NA,4.8,333,Tr,35,6.7,0.26,195,212,57,1.7,0.25
"Farinha, de trigo",360,75.1,9.8,1.4,NA,NA,2.3,1,Tr,18,1,0.15,115,151,31,0.8,0.31
"Farinha, láctea, de cereais",415,77.8,11.9,5.8,11,492,1.9,125,24.3,196,8.7,0.19,296,366,58,1.7,1.43
"Lasanha, massa fresca, cozida",164,32.5,5.8,1.2,NA,NA,1.6,207, ,10,1.2,0.07,42,54,4,0.4,0.04
"Lasanha, massa fresca, crua",220,45.1,7,1.3,NA,NA,1.6,667, ,17,1.9,0.1,82,137,13,0.8,0.08
"Macarrão, instantâneo",436,62.4,8.8,17.2,NA,NA,5.6,1516,Tr,18,0.8,0.1,112,148,19,0.5,1.18
"Macarrão, trigo, cru",371,77.9,10,1.3,NA,NA,2.9,7,Tr,17,0.9,0.15,100,147,28,0.8,0.18
"Macarrão, trigo, cru, com ovos",371,76.6,10.3,2,18,Tr,2.3,15,Tr,19,0.9,0.14,118,134,Tr,0.8,0.11
"Milho, amido, cru",361,87.1,0.6,Tr,NA,NA,0.7,8,Tr,1,0.1,0.02,13,9,3,0.1,Tr
"Milho, fubá, cru",353,78.9,7.2,1.9,NA,NA,4.7,Tr,Tr,3,0.9,0.08,108,168,41,1.1,0.25
"Milho, verde, cru",138,28.6,6.6,0.6,NA,NA,3.9,1,Tr,2,0.4,0.05,113,185,33,0.5,0.3
"Milho, verde, enlatado, drenado",98,17.1,3.2,2.4,NA,NA,4.6,260,1.7,2,0.6,0.05,61,162,20,0.5,Tr
"Mingau tradicional, pó",373,89.3,0.6,0.4,NA,1533,0.9,15,Tr,522,42,Tr,273,Tr,4,15.2,3.41
"Pamonha, barra para cozimento, pré-cozida",171,30.7,2.6,4.8,NA,NA,2.4,132,Tr,4,0.4,0.03,55,125,15,0.4,Tr
"Pão, aveia, forma",343,59.6,12.4,5.7,Tr,Tr,6,606,Tr,109,4.7,0.14,182,210,57,1.7,0.09
"Pão, de soja",309,56.5,11.3,3.6,NA,NA,5.7,663,Tr,90,3.3,0.16,153,296,48,1.5,0.07
"Pão, glúten, forma",253,44.1,12,2.7,NA,NA,2.5,22,Tr,156,5.7,0.06,105,65,24,1.3,0.04
"Pão, milho, forma",292,56.4,8.3,3.1,6,Tr,4.3,507,Tr,78,3,0.1,110,89,29,0.8,0.08
"Pão, trigo, forma, integral",253,49.9,9.4,3.7,NA,NA,6.9,506,Tr,132,3,0.15,193,163,60,1.6,0.08
"Pão, trigo, francês",300,58.6,8,3.1,NA,3,2.3,648, ,16,1,0.13,95,142,25,0.8,0.39
"Pão, trigo, sovado",311,61.5,8.4,2.8,17,Tr,2.4,431,Tr,52,2.3,Tr,101,91,22,2.7,0.08
"Pastel, de carne, cru",289,42,10.7,8.8,18,Tr,1,1309,Tr,17,2,0.11,117,166,18,1.7,0.06
"Pastel, de carne, frito",388,43.8,10.1,20.1,25,Tr,1,1040,,13,2.5,0.12,90,156,14,1.2,0.06
"Pastel, de queijo, cru",308,45.9,9.9,9.6,14,Tr,1.1,985,Tr,155,1,0.1,168,103,16,1,0.07
"Pastel, de queijo, frito",422,48.1,8.7,22.7,15,18,0.9,821,Tr,126,1.3,0.1,124,124,15,0.8,0.09
"Pastel, massa, crua",310,57.4,6.9,5.5,NA,NA,1.4,1344, ,13,1.1,0.11,73,167,14,0.6,0.15
"Pastel, massa, frita",570,49.3,6,40.9,NA,NA,1.3,1175, ,11,1.4,0.08,62,143,13,0.5,0.16
"Pipoca, com óleo de soja, sem sal",448,70.3,9.9,15.9,NA,NA,14.3,4,Tr,3,1.2,0.46,225,256,91,2,0.03
"Polenta, pré-cozida",103,23.3,2.3,0.3,NA,NA,2.4,442,Tr,1,Tr,0.04,17,100,4,0.1,0.04
"Torrada, pão francês",377,74.6,10.5,3.3,NA,NA,3.4,829,Tr,19,1.2,0.16,114,189,32,0.9,0.38
,,,,,,,,,,,,,,,,,
"Abóbora, cabotian, cozida",48,10.8,1.4,0.7,NA,NA,2.5,1,7.5,8,0.3,0.06,33,199,9,0.3,0.08
"Abóbora, cabotian, crua",39,8.4,1.7,0.5,NA,NA,2.2,Tr,5.1,18,0.4,0.06,26,351,9,0.3,Tr
"Abóbora, menina brasileira, crua",14,3.3,0.6,Tr,NA,NA,1.2,Tr,1.5,9,0.2,0.02,12,165,4,Tr,0.07
"Abóbora, moranga, crua",12,2.7,1,0.1,NA,NA,1.7,Tr,9.6,3,Tr,0.05,8,125,2,0.1,Tr
"Abóbora, moranga, refogada",29,6,0.4,0.8,NA,NA,1.5,3,6.7,19,0.1,0.04,12,183,7,0.1,0.05
"Abóbora, pescoço, crua",24,6.1,0.7,0.1,NA,NA,2.3,1,2.1,9,0.3,0.09,32,264,7,0.2,Tr
"Abobrinha, italiana, cozida",15,3,1.1,0.2,NA,NA,1.6,1,2.1,17,0.2,0.01,22,126,17,0.3,0.05
"Abobrinha, italiana, crua",19,4.3,1.1,0.1,NA,NA,1.4,Tr,6.9,15,0.2,0.05,32,253,20,0.2,Tr
"Abobrinha, italiana, refogada",24,4.2,1.1,0.8,NA,NA,1.4,2,7.5,21,0.4,0.02,32,194,13,0.3,0.04
"Abobrinha, paulista, crua",31,7.9,0.6,0.1,NA,NA,2.6,1,17.5,19,0.2,0.1,33,213,9,0.2,Tr
"Acelga, crua",21,4.6,1.4,0.1,NA,NA,1.1,1,22.6,43,0.3,0.1,40,240,10,0.3,0.04
"Agrião, cru",17,2.3,2.7,0.2,NA,NA,2.1,7,60.1,133,3.1,0.1,51,218,18,0.7,0.11
"Aipo, cru",19,4.3,0.8,0.1,NA,NA,1,10,5.9,65,0.7,0.31,28,274,9,0.1,Tr
"Alface, americana, crua",9,1.7,0.6,0.1,NA,NA,1,7,11,14,0.3,0.02,19,136,6,0.2,0.03
"Alface, crespa, crua",11,1.7,1.3,0.2,NA,NA,1.8,3,15.6,38,0.4,0.03,26,267,11,0.3,0.11
"Alface, lisa, crua",14,2.4,1.7,0.1,NA,NA,2.3,4,21.4,28,0.6,0.03,26,349,9,0.3,0.09
"Alface, roxa, crua",13,2.5,0.9,0.2,NA,NA,2,7,13.5,34,2.5,0.04,51,308,9,0.2,Tr
"Alfavaca, crua",29,5.2,2.7,0.5,NA,NA,4.1,5,Tr,258,1.3,0.15,50,261,84,0.7,Tr
"Alho, cru",113,23.9,7,0.2,NA,NA,4.3,5,*,14,0.8,0.15,149,535,21,0.8,0.18
"Alho-poró, cru",32,6.9,1.4,0.1,NA,NA,2.5,2,14.1,34,0.6,0.29,36,224,11,0.2,0.06
"Almeirão, cru",18,3.3,1.8,0.2,NA,NA,2.6,2,1.7,19,0.7,0.1,40,369,21,0.3,0.1
"Almeirão, refogado",65,5.7,1.7,4.8,NA,NA,3.4,15,1.5,63,1.6,0.06,31,315,17,0.2,0.03
"Batata, baroa, cozida",80,18.9,0.9,0.2,NA,NA,1.8,2,17.1,12,0.4,0.15,29,258,8,0.4,0.06
"Batata, baroa, crua",101,24,1,0.2,NA,NA,2.1,Tr,7.6,17,0.3,0.05,45,505,12,0.2,0.05
"Batata, doce, cozida",77,18.4,0.6,0.1,NA,NA,2.2,3,23.8,17,0.2,0.06,15,148,11,0.1,0.08
"Batata, doce, crua",118,28.2,1.3,0.1,NA,NA,2.6,9,16.5,21,0.4,0.11,36,340,17,0.2,0.06
"Batata, frita, tipo chips, industrializada",543,51.2,5.6,36.6,NA,NA,2.5,607,Tr,12,0.7,0.12,96,1014,24,0.6,0.2
"Batata, inglesa, cozida",52,11.9,1.2,Tr,NA,NA,1.3,2,3.8,4,0.2,0.06,24,161,5,0.2,0.05
"Batata, inglesa, crua",64,14.7,1.8,Tr,NA,NA,1.2,Tr,31.1,4,0.4,0.09,39,302,15,0.2,0.1
"Batata, inglesa, frita",267,35.6,5,13.1,NA,NA,8.1,2,16.3,6,0.4,0.1,70,489,14,0.4,0.17
,,,,,,,,,,,,,,,,,
"Batata, inglesa, sauté",68,14.1,1.3,0.9,NA,NA,1.4,8,Tr,4,0.3,0.05,32,199,6,0.2,0.07
"Berinjela, cozida",19,4.5,0.7,0.1,NA,NA,2.5,1,Tr,11,0.2,0.04,15,105,9,0.1,0.04
"Berinjela, crua",20,4.4,1.2,0.1,NA,NA,2.9,Tr,3,9,0.2,0.06,20,205,13,0.1,0.04
"Beterraba, cozida",32,7.2,1.3,0.1,NA,NA,1.9,23,1.2,15,0.2,0.04,30,245,17,0.4,0.09
"Beterraba, crua",49,11.1,1.9,0.1,NA,NA,3.4,10,3.1,18,0.3,0.08,19,375,24,0.5,0.04
"Biscoito, polvilho doce",438,80.5,1.3,12.2,9,Tr,1.2,98,Tr,30,1.8,0.04,23,54,6,0.1,Tr
"Brócolis, cozido",25,4.4,2.1,0.5,NA,NA,3.4,2,42,51,0.5,0.08,33,119,15,0.2,0.04
"Brócolis, cru",25,4,3.6,0.3,NA,NA,2.9,3,34.3,86,0.6,0.06,78,322,30,0.5,0.12
"Cará, cozido",78,18.9,1.5,0.1,NA,NA,2.6,1,Tr,5,0.3,0.11,28,203,15,0.2,0.12
"Cará, cru",96,23,2.3,0.1,NA,NA,7.3,Tr,8.8,4,0.2,0.06,35,212,11,0.2,0.11
"Caruru, cru",34,6,3.2,0.6,NA,NA,4.5,14,5.4,455,4.5,0.37,77,279,197,6,Tr
"Catalonha, crua",24,4.8,1.9,0.3,NA,NA,2,9,7.3,57,3.1,0.27,32,412,17,0.5,Tr
"Catalonha, refogada",63,4.8,2,4.8,NA,NA,3.7,25,Tr,63,1.2,0.18,35,452,16,0.4,0.04
